seed,model_tag,mode,factor,n_coords,ci_level,lower_q,upper_q,within_count,coverage_pct,quad_error,mse,rmse,eval_version,method
54,alt_bspline,2,2,25,80.0,10.0,90.0,20,80.0,0.1113137199927444,0.0558428606106928,0.2363109405226361,blambda_actual,blf_gp
54,alt_bspline,2,3,25,80.0,10.0,90.0,13,52.0,1.0560875717257745,0.5071995386756485,0.7121794287085583,blambda_actual,blf_gp
55,gp,1,1,15,80.0,10.0,90.0,15,100.0,0.0901795835207116,0.085698334024365,0.2927427779200797,lambda_projected_optimum,blf_gp
55,gp,1,2,15,80.0,10.0,90.0,11,73.33333333333333,0.4080518604058277,0.3835482943804075,0.6193127597429328,lambda_projected_optimum,blf_gp
55,gp,1,3,15,80.0,10.0,90.0,12,80.0,0.1992512734565449,0.198124910995865,0.445112245389705,lambda_projected_optimum,blf_gp
55,gp,2,1,25,80.0,10.0,90.0,22,88.0,0.4568375454445235,0.2270725859817182,0.4765213384327277,lambda_projected_optimum,blf_gp
55,gp,2,2,25,80.0,10.0,90.0,13,52.0,1.3720670268023163,0.6927981501568371,0.8323449706442859,lambda_projected_optimum,blf_gp
55,gp,2,3,25,80.0,10.0,90.0,24,96.0,0.7297410580444352,0.3504017048025302,0.5919473834746888,lambda_projected_optimum,blf_gp
55,gp,1,1,15,80.0,10.0,90.0,0,0.0,1.374465775804862,1.3088877199840043,1.1440663092600902,blambda_actual,blf_gp
55,gp,1,2,15,80.0,10.0,90.0,0,0.0,6.670201331698568,6.346623700830191,2.5192506228698623,blambda_actual,blf_gp
55,gp,1,3,15,80.0,10.0,90.0,5,33.333333333333336,3.09832445173674,2.897655318354164,1.7022500751517575,blambda_actual,blf_gp
55,gp,2,1,25,80.0,10.0,90.0,10,40.0,4.285177105206792,2.0584365859884266,1.4347252649857487,blambda_actual,blf_gp
55,gp,2,2,25,80.0,10.0,90.0,6,24.0,19.835016836790533,9.542853083043292,3.0891508676403765,blambda_actual,blf_gp
55,gp,2,3,25,80.0,10.0,90.0,4,16.0,14.754012071275897,7.54440415501412,2.746707875805893,blambda_actual,blf_gp
55,alt_fourier,1,1,15,80.0,10.0,90.0,15,100.0,0.0490422084845312,0.0464387064099522,0.2154964185548156,lambda_projected_optimum,blf_gp
55,alt_fourier,1,2,15,80.0,10.0,90.0,11,73.33333333333333,0.1866314892866033,0.184117840445575,0.4290895482828439,lambda_projected_optimum,blf_gp
55,alt_fourier,1,3,15,80.0,10.0,90.0,9,60.0,0.3224969493811011,0.3053747875457515,0.552607263384903,lambda_projected_optimum,blf_gp
55,alt_fourier,2,1,25,80.0,10.0,90.0,18,72.0,0.3881639482919107,0.1978090838875534,0.4447573314601496,lambda_projected_optimum,blf_gp
55,alt_fourier,2,2,25,80.0,10.0,90.0,18,72.0,1.1649801148162764,0.5815669830445687,0.7626053914342389,lambda_projected_optimum,blf_gp
55,alt_fourier,2,3,25,80.0,10.0,90.0,21,84.0,1.0435952976540266,0.5063632386156314,0.7115920450761316,lambda_projected_optimum,blf_gp
55,alt_fourier,1,1,15,80.0,10.0,90.0,11,73.33333333333333,0.207567811972578,0.1942414807678895,0.4407283525800098,blambda_actual,blf_gp
55,alt_fourier,1,2,15,80.0,10.0,90.0,2,13.333333333333334,1.7010063257323051,1.6394545848438602,1.2804118809367009,blambda_actual,blf_gp
55,alt_fourier,1,3,15,80.0,10.0,90.0,5,33.333333333333336,1.0327525583480646,0.9639035861866448,0.9817859166776864,blambda_actual,blf_gp
55,alt_fourier,2,1,25,80.0,10.0,90.0,11,44.0,0.9754216172251974,0.5204305717240658,0.7214087410920842,blambda_actual,blf_gp
55,alt_fourier,2,2,25,80.0,10.0,90.0,10,40.0,5.625228294977914,2.700498694717433,1.6433194134791425,blambda_actual,blf_gp
55,alt_fourier,2,3,25,80.0,10.0,90.0,7,28.0,4.037653932177832,2.057741070868248,1.4344828583389373,blambda_actual,blf_gp
55,alt_bspline,1,1,15,80.0,10.0,90.0,10,66.66666666666667,0.131988988067663,0.1299842961785879,0.3605333496066458,lambda_projected_optimum,blf_gp
55,alt_bspline,1,2,15,80.0,10.0,90.0,10,66.66666666666667,0.3737181137253121,0.3571643552095747,0.5976322909696017,lambda_projected_optimum,blf_gp
55,alt_bspline,1,3,15,80.0,10.0,90.0,13,86.66666666666667,0.1949521471219916,0.1820068437732894,0.4266226011046407,lambda_projected_optimum,blf_gp
55,alt_bspline,2,1,25,80.0,10.0,90.0,15,60.0,0.8814171684991864,0.4230842059274095,0.6504492339356005,lambda_projected_optimum,blf_gp
55,alt_bspline,2,2,25,80.0,10.0,90.0,15,60.0,1.6396893185532964,0.7886010517859201,0.8880321231723096,lambda_projected_optimum,blf_gp
55,alt_bspline,2,3,25,80.0,10.0,90.0,14,56.0,1.483478375483159,0.7639912669372657,0.8740659396963514,lambda_projected_optimum,blf_gp
55,alt_bspline,1,1,15,80.0,10.0,90.0,7,46.66666666666666,0.3298700155133869,0.3171881052529064,0.5631945536427944,blambda_actual,blf_gp
55,alt_bspline,1,2,15,80.0,10.0,90.0,9,60.0,0.3814419664514475,0.364933235727897,0.6040970416480261,blambda_actual,blf_gp
55,alt_bspline,1,3,15,80.0,10.0,90.0,13,86.66666666666667,0.2884398572058825,0.269420137318426,0.5190569692417453,blambda_actual,blf_gp
55,alt_bspline,2,1,25,80.0,10.0,90.0,11,44.0,1.866261022738268,0.902721978434648,0.9501168235720532,blambda_actual,blf_gp
55,alt_bspline,2,2,25,80.0,10.0,90.0,15,60.0,1.729338426112305,0.8350579286017121,0.9138150406957156,blambda_actual,blf_gp
55,alt_bspline,2,3,25,80.0,10.0,90.0,12,48.0,1.963769831892392,1.000229240849999,1.0001146138568315,blambda_actual,blf_gp
56,gp,1,1,15,80.0,10.0,90.0,13,86.66666666666667,0.1159131554157689,0.1212635619354369,0.3482291801894794,lambda_projected_optimum,blf_gp
56,gp,1,2,15,80.0,10.0,90.0,8,53.333333333333336,0.0874269192863087,0.1001077767744446,0.3163981301690081,lambda_projected_optimum,blf_gp
56,gp,1,3,15,80.0,10.0,90.0,12,80.0,0.080897850949341,0.0765596221934199,0.2766940949738898,lambda_projected_optimum,blf_gp
56,gp,2,1,25,80.0,10.0,90.0,21,84.0,0.3593421298339346,0.1727944158474544,0.4156854770706507,lambda_projected_optimum,blf_gp
